station,valid,lon,lat,elevation,p01i
ATT,12:51:00 AM,-97.7604,30.3208,203,0.37
ATT,1:51:00 AM,-97.7604,30.3208,203,0.38
ATT,2:51:00 AM,-97.7604,30.3208,203,0.15
ATT,3:51:00 AM,-97.7604,30.3208,203,0.06
ATT,4:51:00 AM,-97.7604,30.3208,203,0.11
ATT,5:51:00 AM,-97.7604,30.3208,203,1.67
ATT,6:51:00 AM,-97.7604,30.3208,203,0.67
ATT,7:51:00 AM,-97.7604,30.3208,203,0.27
ATT,8:51:00 AM,-97.7604,30.3208,203,0.36
ATT,9:51:00 AM,-97.7604,30.3208,203,0.42
ATT,10:51:00 AM,-97.7604,30.3208,203,0
ATT,11:51:00 AM,-97.7604,30.3208,203,0.01
ATT,12:51:00 PM,-97.7604,30.3208,203,0.01
ATT,1:51:00 PM,-97.7604,30.3208,203,0
ATT,2:51:00 PM,-97.7604,30.3208,203,0
ATT,3:51:00 PM,-97.7604,30.3208,203,0
ATT,4:51:00 PM,-97.7604,30.3208,203,0
ATT,5:51:00 PM,-97.7604,30.3208,203,0
ATT,6:51:00 PM,-97.7604,30.3208,203,0
ATT,7:51:00 PM,-97.7604,30.3208,203,0
ATT,8:51:00 PM,-97.7604,30.3208,203,0
ATT,9:51:00 PM,-97.7604,30.3208,203,0
ATT,10:51:00 PM,-97.7604,30.3208,203,0
ATT,11:51:00 PM,-97.7604,30.3208,203,0
