station,valid,lon,lat,elevation,p01i
RYW,12:55:00 AM,-97.9659,30.4967,375.2,0
RYW,1:55:00 AM,-97.9659,30.4967,375.2,0
RYW,2:55:00 AM,-97.9659,30.4967,375.2,0
RYW,3:55:00 AM,-97.9659,30.4967,375.2,0
RYW,4:55:00 AM,-97.9659,30.4967,375.2,0
RYW,5:55:00 AM,-97.9659,30.4967,375.2,0
RYW,6:55:00 AM,-97.9659,30.4967,375.2,0
RYW,7:55:00 AM,-97.9659,30.4967,375.2,0
RYW,8:55:00 AM,-97.9659,30.4967,375.2,0
RYW,9:55:00 AM,-97.9659,30.4967,375.2,0
RYW,10:55:00 AM,-97.9659,30.4967,375.2,0
RYW,11:55:00 AM,-97.9659,30.4967,375.2,0
RYW,12:55:00 PM,-97.9659,30.4967,375.2,0
RYW,1:55:00 PM,-97.9659,30.4967,375.2,0
RYW,2:55:00 PM,-97.9659,30.4967,375.2,0
RYW,3:55:00 PM,-97.9659,30.4967,375.2,0
RYW,4:55:00 PM,-97.9659,30.4967,375.2,0
RYW,5:55:00 PM,-97.9659,30.4967,375.2,0
RYW,6:55:00 PM,-97.9659,30.4967,375.2,0
RYW,7:55:00 PM,-97.9659,30.4967,375.2,0
RYW,8:55:00 PM,-97.9659,30.4967,375.2,0
RYW,9:55:00 PM,-97.9659,30.4967,375.2,0
RYW,10:55:00 PM,-97.9659,30.4967,375.2,0
RYW,11:55:00 PM,-97.9659,30.4967,375.2,0
